Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
1.15000	 3.204	40.652	110.286	84.765	-354.701	16.27430						
1.15333	 3.189	44.526	110.286	84.651	-354.717	16.27491						
1.15667	 3.067	48.400	110.420	84.880	-354.793	16.27430						
1.16000	 3.082	52.274	110.343	84.816	-354.854	16.27369						
1.16333	 3.128	54.887	110.343	85.009	-354.854	16.27430						
1.16667	 3.143	51.013	110.385	84.964	-354.823	16.27491						
1.17000	 3.113	47.139	110.416	85.086	-354.823	16.27491						
1.17333	 3.220	43.265	110.340	85.025	-354.808	16.27369						
1.17667	 3.220	39.391	110.294	84.964	-354.778	16.27308						
1.18000	 3.128	35.547	110.218	84.784	-354.778	16.27308						
1.18333	 3.113	31.838	110.157	84.765	-354.854	16.27369						
